dataset,ESPRESSO,BOCD,Window,PELT,BinSeg,FLOSS,ClaSP
Adiac,0.408,0.303,0.303,0.303,0.303,0.809,0.816
ArrowHead,0.701,0.483,0.5,0.5,0.5,0.995,0.996
Beef,0.487,0.344,0.5,0.5,0.5,0.935,0.848
BeetleFly,0.6559999999999999,0.716,0.5,0.5,0.5,0.5,1.0
BirdChicken,0.4589999999999999,0.366,0.5,0.5,0.5,0.5,0.5
CBF,0.505,0.613,0.342,0.342,0.342,0.861,0.68
Cane,0.401,0.561,0.5529999999999999,0.326,0.413,0.741,0.988
Car,0.3389999999999999,0.256,0.256,0.256,0.256,0.256,0.7609999999999999
Chinatown,0.367,1.0,1.0,1.0,1.0,0.7040000000000001,1.0
ChlorineConcentration,0.3979999999999999,0.664,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001,0.5770000000000001
CinCECGTorso,0.496,0.551,0.337,0.337,0.337,0.337,0.828
